"col_index","col_name"
224,"susceptible_comparator_group definition_10"
225,"susceptible_comparator_group variable_10"
226,"susceptible_comparator_group mean_10"
227,"susceptible_comparator_group SD_10"
228,"susceptible_comparator_group median_10"
229,"susceptible_comparator_group IQR_10"
230,"susceptible_comparator_group notes_10"
231,"total definition_10"
232,"total variable_10"
233,"total median_10"
234,"total IQR_10"
235,"resistant_group definition_11"
236,"resistant_group variable_11"
237,"resistant_group mean_11"
238,"resistant_group SD_11"
239,"resistant_group median_11"
240,"resistant_group IQR_11"
241,"resistant_group p-value_11"
242,"resistant_group notes_11"
243,"susceptible_comparator_group definition_11"
244,"susceptible_comparator_group variable_11"
245,"susceptible_comparator_group mean_11"
246,"susceptible_comparator_group SD_11"
247,"susceptible_comparator_group median_11"
248,"susceptible_comparator_group IQR_11"
249,"total definition_11"
250,"total variable_11"
251,"total mean_11"
252,"total SD_11"
253,"resistant_group definition_12"
254,"resistant_group variable_12"
255,"resistant_group mean_12"
256,"resistant_group SD_12"
257,"resistant_group median_12"
258,"resistant_group IQR_12"
259,"resistant_group p-value_12"
260,"resistant_group notes_12"
261,"susceptible_comparator_group definition_12"
262,"susceptible_comparator_group variable_12"
263,"susceptible_comparator_group mean_12"
264,"susceptible_comparator_group SD_12"
265,"susceptible_comparator_group median_12"
266,"susceptible_comparator_group IQR_12"
267,"total definition_12"
268,"total variable_12"
269,"total median_12"
270,"total IQR_12"
271,"resistant_group definition_13"
272,"resistant_group variable_13"
273,"resistant_group mean_13"
274,"resistant_group SD_13"
275,"resistant_group median_13"
276,"resistant_group IQR_13"
277,"resistant_group p-value_13"
278,"resistant_group notes_13"
279,"susceptible_comparator_group definition_13"
280,"susceptible_comparator_group variable_13"
281,"susceptible_comparator_group mean_13"
282,"susceptible_comparator_group SD_13"
283,"susceptible_comparator_group median_13"
284,"susceptible_comparator_group IQR_13"
285,"total definition_13"
286,"total variable_13"
287,"total median_13"
288,"total IQR_13"
289,"resistant_group definition_14"
290,"resistant_group variable_14"
291,"resistant_group mean_14"
292,"resistant_group SD_14"
293,"resistant_group median_14"
294,"resistant_group IQR_14"
295,"resistant_group p-value_14"
296,"resistant_group notes_14"
297,"susceptible_comparator_group definition_14"
298,"susceptible_comparator_group variable_14"
299,"susceptible_comparator_group mean_14"
300,"susceptible_comparator_group SD_14"
301,"susceptible_comparator_group median_14"
302,"susceptible_comparator_group IQR_14"
303,"total definition_14"
304,"total variable_14"
305,"total median_14"
306,"total IQR_14"
307,"resistant_group definition_15"
308,"resistant_group variable_15"
309,"resistant_group mean_15"
310,"resistant_group SD_15"
311,"resistant_group median_15"
312,"resistant_group IQR_15"
313,"resistant_group p-value_15"
314,"resistant_group notes_15"
315,"susceptible_comparator_group definition_15"
316,"susceptible_comparator_group variable_15"
317,"susceptible_comparator_group mean_15"
318,"susceptible_comparator_group SD_15"
319,"susceptible_comparator_group median_15"
320,"susceptible_comparator_group IQR_15"
321,"total definition_15"
322,"total variable_15"
323,"total median_15"
324,"total IQR_15"
325,"resistant_group definition_16"
326,"resistant_group variable_16"
327,"resistant_group mean_16"
328,"resistant_group SD_16"
329,"resistant_group median_16"
330,"resistant_group IQR_16"
331,"resistant_group p-value_16"
332,"susceptible_comparator_group definition_16"
333,"susceptible_comparator_group variable_16"
334,"susceptible_comparator_group mean_16"
335,"susceptible_comparator_group SD_16"
336,"susceptible_comparator_group median_16"
337,"susceptible_comparator_group IQR_16"
338,"total definition_16"
339,"total variable_16"
340,"total median_16"
341,"total IQR_16"
342,"resistant_group definition_17"
343,"resistant_group variable_17"
344,"resistant_group mean_17"
345,"resistant_group median_17"
346,"resistant_group IQR_17"
347,"resistant_group p-value_17"
348,"resistant_group notes_17"
349,"susceptible_comparator_group definition_17"
350,"susceptible_comparator_group variable_17"
351,"susceptible_comparator_group mean_17"
352,"susceptible_comparator_group median_17"
353,"susceptible_comparator_group IQR_17"
354,"total definition_17"
355,"total variable_17"
356,"total median_17"
357,"total IQR_17"
358,"resistant_group definition_18"
359,"resistant_group variable_18"
360,"resistant_group mean_18"
361,"resistant_group median_18"
362,"resistant_group IQR_18"
363,"resistant_group p-value_18"
364,"resistant_group notes_18"
365,"susceptible_comparator_group definition_18"
366,"susceptible_comparator_group variable_18"
367,"susceptible_comparator_group mean_18"
368,"susceptible_comparator_group median_18"
369,"susceptible_comparator_group IQR_18"
370,"total definition_18"
371,"total variable_18"
372,"total median_18"
373,"total IQR_18"
374,"resistant_group definition_19"
375,"resistant_group variable_19"
376,"resistant_group mean_19"
377,"resistant_group median_19"
378,"resistant_group IQR_19"
379,"resistant_group p-value_19"
380,"resistant_group notes_19"
381,"susceptible_comparator_group definition_19"
382,"susceptible_comparator_group variable_19"
383,"susceptible_comparator_group mean_19"
384,"susceptible_comparator_group median_19"
385,"susceptible_comparator_group IQR_19"
386,"total definition_19"
387,"total variable_19"
388,"total median_19"
389,"total IQR_19"
390,"resistant_group definition_20"
391,"resistant_group variable_20"
392,"resistant_group mean_20"
393,"resistant_group median_20"
394,"resistant_group IQR_20"
395,"resistant_group p-value_20"
396,"resistant_group notes_20"
397,"susceptible_comparator_group definition_20"
398,"susceptible_comparator_group variable_20"
399,"susceptible_comparator_group mean_20"
400,"susceptible_comparator_group median_20"
401,"susceptible_comparator_group IQR_20"
402,"total definition_20"
403,"total variable_20"
404,"total median_20"
405,"total IQR_20"
406,"Number_1 Variable_description"
407,"Number_1 Resistant_group_definition"
408,"Number_1 Resistant_group_value"
409,"Number_1 Susceptible_comparator_group_definition"
410,"Number_1 Susceptible_comparator_group_value"
411,"Number_1 Total"
412,"Number_1 p-value"
413,"Number_1 note"
414,"Proportion_1 Variable_description"
415,"Proportion_1 Resistant_group_definition"
416,"Proportion_1 Resistant_group_value"
417,"Proportion_1 Susceptible_comparator_group_definition"
418,"Proportion_1 Susceptible_comparator_group_value"
419,"Proportion_1 Total"
420,"Proportion_1 p-value"
421,"Proportion_1 note"
422,"95%CI_1 Variable_description"
423,"95%CI_1 Resistant_group_definition"
424,"95%CI_1 Resistant_group_value"
425,"95%CI_1 note"
426,"Number_2 Variable_description"
427,"Number_2 Resistant_group_definition"
428,"Number_2 Resistant_group_value"
429,"Number_2 Susceptible_comparator_group_definition"
430,"Number_2 Susceptible_comparator_group_value"
431,"Number_2 Total"
432,"Number_2 p-value"
433,"Number_2 note"
434,"Proportion_2 Variable_description"
435,"Proportion_2 Resistant_group_definition"
436,"Proportion_2 Resistant_group_value"
437,"Proportion_2 Susceptible_comparator_group_definition"
438,"Proportion_2 Susceptible_comparator_group_value"
439,"Proportion_2 Total"
440,"Proportion_2 p-value"
441,"Proportion_2 note"
442,"95%CI_2 Variable_description"
443,"95%CI_2 Resistant_group_definition"
444,"95%CI_2 Resistant_group_value"
445,"Number_3 Variable_description"
446,"Number_3 Resistant_group_definition"
447,"Number_3 Resistant_group_value"
448,"Number_3 Susceptible_comparator_group_definition"
449,"Number_3 Susceptible_comparator_group_value"
450,"Number_3 Total"
451,"Number_3 p-value"
452,"Number_3 note"
453,"Proportion_3 Variable_description"
454,"Proportion_3 Resistant_group_definition"
455,"Proportion_3 Resistant_group_value"
456,"Proportion_3 Susceptible_comparator_group_definition"
457,"Proportion_3 Susceptible_comparator_group_value"
458,"Proportion_3 Total"
459,"Proportion_3 p-value"
460,"Proportion_3 note"
461,"95%CI_3 Variable_description"
462,"95%CI_3 Resistant_group_definition"
463,"95%CI_3 Resistant_group_value"
464,"95%CI_3 Susceptible_comparator_group_definition"
465,"95%CI_3 Susceptible_comparator_group_value"
466,"95%CI_3 Total"
467,"Number_4 Variable_description"
468,"Number_4 Resistant_group_definition"
469,"Number_4 Resistant_group_value"
470,"Number_4 Susceptible_comparator_group_definition"
471,"Number_4 Susceptible_comparator_group_value"
472,"Number_4 Total"
473,"Number_4 p-value"
474,"Number_4 note"
475,"Proportion_4 Variable_description"
476,"Proportion_4 Resistant_group_definition"
477,"Proportion_4 Resistant_group_value"
478,"Proportion_4 Susceptible_comparator_group_definition"
479,"Proportion_4 Susceptible_comparator_group_value"
480,"Proportion_4 Total"
481,"Proportion_4 p-value"
482,"Proportion_4 note"
483,"95%CI_4 Variable_description"
484,"95%CI_4 Resistant_group_definition"
485,"95%CI_4 Resistant_group_value"
486,"95%CI_4 Susceptible_comparator_group_definition"
487,"95%CI_4 Susceptible_comparator_group_value"
488,"95%CI_4 Total"
489,"Number_5 Variable_description"
490,"Number_5 Resistant_group_definition"
491,"Number_5 Resistant_group_value"
492,"Number_5 Susceptible_comparator_group_definition"
493,"Number_5 Susceptible_comparator_group_value"
494,"Number_5 Total"
495,"Number_5 p-value"
496,"Number_5 note"
497,"Proportion_5 Variable_description"
498,"Proportion_5 Resistant_group_definition"
499,"Proportion_5 Resistant_group_value"
500,"Proportion_5 Susceptible_comparator_group_definition"
501,"Proportion_5 Susceptible_comparator_group_value"
502,"Proportion_5 Total"
503,"Proportion_5 p-value"
504,"Proportion_5 note"
505,"95%CI_5 Variable_description"
506,"95%CI_5 Resistant_group_definition"
507,"95%CI_5 Resistant_group_value"
508,"95%CI_5 Susceptible_comparator_group_definition"
509,"95%CI_5 Susceptible_comparator_group_value"
510,"95%CI_5 Total"
511,"Number_6 Variable_description"
512,"Number_6 Resistant_group_definition"
513,"Number_6 Resistant_group_value"
514,"Number_6 Susceptible_comparator_group_definition"
515,"Number_6 Susceptible_comparator_group_value"
516,"Number_6 Total"
517,"Number_6 p-value"
518,"Number_6 note"
519,"Proportion_6 Variable_description"
520,"Proportion_6 Resistant_group_definition"
521,"Proportion_6 Resistant_group_value"
522,"Proportion_6 Susceptible_comparator_group_definition"
523,"Proportion_6 Susceptible_comparator_group_value"
524,"Proportion_6 Total"
525,"Proportion_6 p-value"
526,"Proportion_6 note"
527,"Number_7 Variable_description"
528,"Number_7 Resistant_group_definition"
529,"Number_7 Resistant_group_value"
530,"Number_7 Susceptible_comparator_group_definition"
531,"Number_7 Susceptible_comparator_group_value"
532,"Number_7 Total"
533,"Number_7 p-value"
534,"Number_7 note"
535,"Proportion_7 Variable_description"
536,"Proportion_7 Resistant_group_definition"
537,"Proportion_7 Resistant_group_value"
538,"Proportion_7 Susceptible_comparator_group_definition"
539,"Proportion_7 Susceptible_comparator_group_value"
540,"Proportion_7 Total"
541,"Proportion_7 p-value"
542,"Proportion_7 note"
543,"95%CI_7 Variable_description"
544,"95%CI_7 p-value"
545,"95%CI_7 note"
546,"Number_8 Variable_description"
547,"Number_8 Resistant_group_definition"
548,"Number_8 Resistant_group_value"
549,"Number_8 Susceptible_comparator_group_definition"
550,"Number_8 Susceptible_comparator_group_value"
551,"Number_8 Total"
552,"Number_8 p-value"
553,"Number_8 note"
554,"Proportion_8 Variable_description"
555,"Proportion_8 Resistant_group_definition"
556,"Proportion_8 Resistant_group_value"
557,"Proportion_8 Susceptible_comparator_group_definition"
558,"Proportion_8 Susceptible_comparator_group_value"
559,"Proportion_8 Total"
560,"Proportion_8 p-value"
561,"Proportion_8 note"
562,"Number_9 Variable_description"
563,"Number_9 Resistant_group_definition"
564,"Number_9 Resistant_group_value"
565,"Number_9 Susceptible_comparator_group_definition"
566,"Number_9 Susceptible_comparator_group_value"
567,"Number_9 Total"
568,"Number_9 p-value"
569,"Number_9 note"
570,"Proportion_9 Variable_description"
571,"Proportion_9 Resistant_group_definition"
572,"Proportion_9 Resistant_group_value"
573,"Proportion_9 Susceptible_comparator_group_definition"
